layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,115.642900
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,115.756643
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,113.849314
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,114.846838
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,314.028918
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,308.882026
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,308.657397
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,114.737939
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,114.205134
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,113.905541
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,115.180534
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,310.213726
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,309.546370
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,311.415339
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,115.819185
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,114.210678
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,114.201730
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,115.453121
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,312.054307
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,309.180794
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,312.072264
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,116.110985
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,114.725106
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,114.245028
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,113.921109
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,312.827058
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,309.987866
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,311.142799
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,115.664130
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,114.337437
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,114.609420
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,114.237342
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,309.707949
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,311.814915
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,309.458747
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,117.075712
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,114.330446
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,113.723238
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,115.571057
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,311.440739
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,308.981686
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,308.903092
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,114.499814
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,113.542170
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,113.942029
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,114.875741
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,311.123908
6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,32,4,309.733234
