mode,batch,prefill_ms,decode_ms,ffn_ms,qkv_ms,total_ms,peak_rss_kib,major_faults,minor_faults,cpu_percent
fp32,16,47348.100000,11458.000000,36390.270000,13709.170000,58806.100000,3810864,0,95108,235%
fp32,32,49696.000000,11431.100000,38189.580000,14090.590000,61127.100000,3810460,0,97615,235%
fp32,64,49955.300000,11445.600000,38028.020000,14444.030000,61400.900000,3810640,0,98696,235%
q8act,16,136367.000000,11399.400000,95822.690000,35833.560000,147766.400000,3811012,0,99176,213%
q8act,32,136216.000000,11421.100000,95807.060000,35781.690000,147637.100000,3810664,0,99486,214%
q8act,64,136331.000000,11433.700000,95949.650000,35815.120000,147764.700000,3810740,0,99136,214%
